#{"t_start": 1516326323.8394196, "gym_version": "0.9.3", "env_id": 1}
r,l,t
-89.262915,34,2.283038
-94.394008,29,2.305084
-100.163188,9,2.311912
-90.843222,24,2.328348
-88.540838,25,2.345805
-88.577528,43,2.378811
-98.293804,13,2.39136
-85.535668,32,2.418985
-96.689007,15,2.432151
-99.333867,12,2.452108
-95.4044,17,2.465881
-94.506699,21,2.48548
-83.888642,32,2.51289
-99.006983,13,2.526702
-87.632468,28,2.553931
-90.667498,37,6.220663
-96.287711,31,6.234774
-72.176973,45,6.257095
-89.487523,25,6.270921
-96.99793,17,7.02089
-67.306969,56,8.586851
-89.36112,32,8.60278
-98.815432,22,8.613622
-76.595183,35,8.631005
-86.768422,27,8.645714
-85.423675,30,8.66086
-80.32363,32,10.186362
-97.103184,19,10.19613
-84.450853,32,11.118901
-91.776634,35,12.583926
-94.019873,34,12.601165
-83.8925,32,12.617625
-99.520764,21,13.457306
-97.157122,17,13.46625
-95.769879,37,13.483605
-99.938442,17,13.492318
-87.852677,97,13.541667
-81.939166,32,14.301257
-89.91713,26,14.999209
-84.559329,71,15.031065
-89.987633,26,15.042887
-72.214002,40,15.873703
-80.311415,37,15.891375
-79.489657,38,15.908514
-100.498462,9,15.912676
-99.090585,21,15.922235
-82.836309,32,15.936814
-100.121351,1,15.937469
-97.219859,30,15.950769
-78.182484,41,15.96991
-98.769038,15,15.976587
-88.953311,26,15.988157
-96.591334,29,16.728302
-98.561865,38,16.746058
-85.32261,41,16.766833
-85.334708,30,16.780941
-95.042001,23,16.791384
-70.284426,113,17.592436
-85.054437,51,18.514249
-87.542776,28,18.526818
-95.703322,41,18.546486
-98.348809,15,19.290888
-96.295371,27,19.304431
-100.156663,8,20.001162
-90.105146,25,20.012891
-76.741657,36,20.029049
-62.880287,51,20.052527
-100.139038,1,20.053216
-87.713856,29,20.066241
-95.414103,21,20.075883
-78.213292,46,20.957116
-85.339608,31,20.971627
-93.57851,29,20.985131
-97.776585,18,20.993998
-100.090963,1,20.994687
-86.856944,55,21.022197
-95.314765,16,21.03037
-84.063748,37,21.049025
-100.260127,5,22.549065
-74.741377,37,22.568579
-98.110477,17,23.428378
-92.969228,44,23.451726
-92.317791,35,26.596209
-86.769729,29,26.611027
-76.273321,42,29.053843
-97.087978,19,29.063486
-80.4877,51,29.09299
-100.124655,1,29.093822
-95.561297,17,29.103616
-74.094408,38,29.845993
-100.104386,1,29.846658
-83.921619,38,30.566777
-99.368857,15,30.574457
-90.16418,28,30.58853
-78.478525,37,30.607667
-88.139239,24,30.621038
-100.180716,1,30.621797
-93.514384,25,31.492548
-84.34412,29,31.507998
-97.043048,16,32.242407
-75.626189,36,32.992832
-100.291276,9,33.844578
-98.114641,12,33.85102
-76.860374,42,33.872742
-60.691431,48,33.897954
-96.55048,20,33.908197
-91.935072,25,33.920467
-89.167606,34,33.935781
-98.887092,18,33.943869
-100.073367,1,33.944478
-95.720536,22,33.954527
-97.505487,15,33.961493
-99.377899,10,35.47914
-91.897622,25,35.493117
-74.528088,37,35.511653
-93.345773,32,36.422114
-99.814391,9,37.213738
-79.680769,33,37.230398
-100.088309,7,37.234131
-72.673516,38,37.253195
-87.135002,25,37.265785
-93.320863,50,37.291195
-100.625377,15,37.299052
-71.757054,39,37.318595
-95.777265,25,38.077676
-76.950199,38,39.644243
-77.106895,36,42.057905
-92.884897,26,42.071167
-69.392355,44,42.093107
-95.504173,27,42.830876
-96.822388,16,45.199761
-99.863815,29,45.214458
-94.033448,38,45.233967
-94.565913,21,45.24509
-100.119997,1,45.245848
-83.745683,35,45.264837
-90.493989,23,45.276618
-91.218819,40,45.297038
-49.111753,57,45.325689
-77.553202,58,45.356106
-82.428462,53,46.23632
-80.637871,35,46.252432
-88.928132,44,46.274148
-95.695787,16,46.281569
-90.592447,21,46.291091
-92.157413,31,46.309797
-91.624738,23,46.320443
-77.335412,34,47.106746
-92.716287,29,47.121312
-91.465371,43,47.895518
-93.525188,31,47.910299
-93.184556,40,47.928927
-85.893449,57,47.956074
-99.161587,11,47.961258
-77.022528,41,47.979501
-82.069426,35,47.996001
-88.133112,35,48.013074
-49.189219,52,48.040085
-61.558702,50,48.064886
-79.47247,60,48.095124
-88.024995,44,48.117709
-100.153787,7,48.12149
-86.949814,45,48.143867
-95.519756,18,48.152968
-99.357707,27,48.166619
-94.330678,25,48.179118
-92.882718,26,49.10988
-82.180557,31,49.125052
-98.093266,13,49.13102
-95.421842,20,49.848598
-99.278367,15,50.577796
-70.752574,43,50.59953
-84.275035,28,50.619083
-94.877361,30,50.641022
-73.383913,41,52.330192
-99.123367,11,52.335723
-92.477682,23,53.075864
-92.821501,29,53.088905
-77.067293,49,53.114854
-81.590124,31,53.131794
